"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_public_post",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","1","","test_wish_visionboard","","","","test_wish_edit",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_history_detail",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_complete",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_complete",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_comment_delete",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_report_reason_list",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_comment_sub",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_my_list",""
"failed","Mon Sep 25 08:28:33 ICT 2023","Mon Sep 25 08:28:33 ICT 2023","160","","test_auth","","","","test_verify_code",""
"failed","Mon Sep 25 08:28:31 ICT 2023","Mon Sep 25 08:28:31 ICT 2023","170","","test_auth","","","","test_registration_code",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","200","","test_auth","","","","test_logout",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_bookmark_create",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_create",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_comment_list",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_report_post_list",""
"passed","Mon Sep 25 08:28:31 ICT 2023","Mon Sep 25 08:28:31 ICT 2023","163","","test_auth","","","","test_health_check",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_hide_list",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_private_post",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_create",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_history_detail",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_edit",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","1","","test_wish_visionboard","","","","test_comment",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_tag_create",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","1","","test_wish_visionboard","","","","test_vision_detail",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_explore_search",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_report_post",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_like_list",""
"passed","Mon Sep 25 08:28:36 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","349","","test_auth","","","","test_login",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_bookmark_list",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_comment_delete_sub",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_tag_list",""
"broken","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_like",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_my_list",""
"passed","Mon Sep 25 08:28:33 ICT 2023","Mon Sep 25 08:28:36 ICT 2023","3271","","test_auth","","","","test_register",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_list",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","1","","test_wish_visionboard","","","","test_hide_post",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_vision_list",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_report_reason_create",""
"passed","Mon Sep 25 08:28:37 ICT 2023","Mon Sep 25 08:28:37 ICT 2023","0","","test_wish_visionboard","","","","test_wish_detail",""
